Team_ID,Competition_ID,Reached_FINAL_A,Reached_SEMI,HeatTime,SemiTime,FinalTime,HeatRanking,SemiRanking,FinalRanking
104,2,False,True,205,206,,1.0,2.0,
86,2,True,False,207,,191,2.0,,2.0
1,2,True,False,208,,193,3.0,,6.0
97,2,False,False,213,,,4.0,,
87,2,False,False,223,,,6.0,,
123,2,False,False,225,,,7.0,,
66,2,False,False,240,,,8.0,,
29,2,True,False,207,,194,1.0,,7.0
8,2,False,True,213,208,203,2.0,5.0,4.0
80,2,True,False,214,,192,3.0,,3.0
13,2,False,False,215,,208,4.0,,8.0
11,2,False,False,222,,,5.0,,
72,2,False,True,230,233,,6.0,8.0,
114,2,False,False,235,,,7.0,,
52,2,False,False,244,,,8.0,,
118,2,False,False,204,,,1.0,,
95,2,True,True,205,205,190,2.0,1.0,1.0
32,2,False,False,207,,207,3.0,,7.0
85,2,True,False,207,,193,4.0,,5.0
124,2,True,True,209,207,193,5.0,3.0,4.0
99,2,False,False,214,,,6.0,,
21,2,False,True,224,259,,7.0,9.0,
19,2,False,False,203,,199,1.0,,1.0
25,2,False,False,205,,201,2.0,,3.0
10,2,False,True,205,208,200,3.0,4.0,2.0
71,2,False,True,210,228,,4.0,7.0,
17,2,False,False,211,,204,5.0,,5.0
47,2,False,False,211,,207,6.0,,6.0
38,2,False,True,,224,210,,6.0,9.0
33,3,True,False,209,,200,1.0,,1.0
49,3,True,True,209,215,203,2.0,1.0,4.0
30,3,False,True,218,218,211,3.0,5.0,4.0
50,3,True,True,218,217,209,4.0,2.0,7.0
37,3,False,True,219,217,213,5.0,4.0,7.0
68,3,False,True,220,223,209,6.0,7.0,3.0
47,3,False,True,226,229,,7.0,9.0,
11,3,False,False,227,,,8.0,,
72,3,False,False,250,,,9.0,,
89,3,True,False,218,,240,1.0,,9.0
97,3,True,True,220,217,209,2.0,3.0,8.0
86,3,True,True,220,216,207,3.0,2.0,6.0
70,3,False,True,220,224,,4.0,8.0,
16,3,False,True,221,222,213,5.0,8.0,6.0
99,3,False,True,222,222,206,6.0,6.0,1.0
18,3,False,True,223,221,213,7.0,7.0,8.0
77,3,False,False,228,,,8.0,,
123,3,False,False,247,,,9.0,,
80,3,True,False,213,,201,1.0,,2.0
109,3,True,True,217,216,202,2.0,1.0,3.0
125,3,False,True,218,219,212,3.0,5.0,5.0
128,3,True,True,221,217,207,4.0,3.0,5.0
122,3,False,True,222,219,216,5.0,4.0,9.0
29,3,False,True,222,221,209,6.0,6.0,2.0
87,3,False,True,241,239,,7.0,9.0,
40,3,False,False,260,,,8.0,,
81,0,True,True,191,193,203,1.0,1.0,2.0
119,0,True,True,192,197,207,2.0,2.0,9.0
109,0,True,True,193,197,203,3.0,2.0,4.0
63,0,False,True,194,200,199,4.0,4.0,2.0
129,0,False,True,194,198,200,5.0,5.0,5.0
103,0,False,True,195,207,,6.0,8.0,
47,0,False,True,201,205,,7.0,7.0,
24,0,False,False,208,,,8.0,,
102,0,True,True,193,198,206,1.0,3.0,7.0
106,0,True,True,193,194,204,2.0,2.0,5.0
26,0,False,True,195,202,202,3.0,5.0,7.0
86,0,False,True,195,199,199,4.0,4.0,3.0
90,0,False,True,196,202,,5.0,7.0,
127,0,False,True,198,206,,6.0,9.0,
51,0,False,True,200,206,,7.0,8.0,
33,0,True,True,192,199,203,1.0,3.0,3.0
80,0,True,True,193,196,206,2.0,3.0,8.0
118,0,False,True,194,201,199,3.0,6.0,4.0
67,0,False,True,195,200,203,4.0,5.0,8.0
5,0,False,True,196,199,201,5.0,6.0,6.0
62,0,False,True,198,204,205,6.0,6.0,9.0
92,0,False,True,200,211,,7.0,9.0,
6,0,False,False,214,,,8.0,,
95,0,True,True,192,196,202,1.0,1.0,1.0
20,0,True,True,193,196,205,2.0,1.0,6.0
85,0,False,True,194,198,198,3.0,4.0,1.0
31,0,False,True,195,199,,4.0,7.0,
9,0,False,False,196,,,5.0,,
97,0,False,True,198,207,,6.0,8.0,
4,0,False,False,209,,,7.0,,
95,6,True,False,202,,201,1.0,,1.0
57,6,True,True,205,208,203,2.0,1.0,3.0
58,6,False,True,206,207,205,3.0,4.0,1.0
14,6,False,True,206,211,205,4.0,4.0,2.0
25,6,True,True,208,206,207,5.0,3.0,6.0
45,6,False,True,209,215,207,6.0,6.0,6.0
17,6,False,True,209,213,205,7.0,7.0,4.0
111,6,False,False,234,,,8.0,,
64,6,True,False,203,,209,1.0,,8.0
28,6,True,True,206,206,209,2.0,2.0,7.0
3,6,False,True,208,213,210,3.0,5.0,7.0
47,6,False,True,208,210,212,4.0,6.0,8.0
4,6,False,True,215,210,,5.0,3.0,
120,6,True,False,201,,203,1.0,,2.0
78,6,True,True,202,205,204,2.0,1.0,4.0
2,6,True,True,207,209,206,3.0,2.0,5.0
27,6,False,True,207,215,206,4.0,7.0,5.0
94,6,False,True,209,207,205,5.0,5.0,3.0
32,6,True,False,,,213,,,9.0
57,7,True,True,210,203,204,1.0,2.0,1.0
35,7,True,True,211,205,209,2.0,3.0,7.0
95,7,True,True,211,202,204,3.0,2.0,2.0
91,7,False,True,212,214,216,4.0,6.0,9.0
45,7,False,True,213,210,,5.0,8.0,
36,7,False,True,213,218,,6.0,9.0,
83,7,False,True,215,215,,7.0,7.0,
85,7,True,False,209,,204,1.0,,3.0
101,7,False,True,213,202,215,3.0,4.0,7.0
17,7,False,True,213,210,,4.0,7.0,
15,7,True,True,214,203,211,5.0,1.0,9.0
84,7,False,True,220,212,212,6.0,6.0,3.0
33,7,True,True,210,202,204,1.0,1.0,4.0
79,7,True,True,212,204,211,2.0,3.0,8.0
74,7,False,True,212,206,213,3.0,4.0,5.0
23,7,False,True,213,218,,4.0,8.0,
82,7,False,True,225,230,,5.0,9.0,
111,7,False,True,234,242,,6.0,9.0,
120,7,True,True,206,204,206,1.0,2.0,5.0
88,7,False,True,208,206,208,2.0,5.0,1.0
126,7,False,True,209,206,209,3.0,4.0,2.0
5,7,True,True,210,202,209,4.0,3.0,6.0
73,7,False,True,210,210,215,5.0,5.0,8.0
116,7,False,True,211,221,,6.0,8.0,
7,7,False,True,212,214,,7.0,7.0,
43,7,False,True,213,208,214,8.0,6.0,6.0
3,7,False,True,,209,213,,5.0,4.0
106,4,True,False,202,,195,1.0,,2.0
7,4,True,False,206,,205,2.0,,7.0
55,4,True,False,206,,198,3.0,,4.0
34,4,False,True,215,219,,4.0,4.0,
46,4,True,True,215,217,205,5.0,1.0,6.0
12,4,False,True,229,242,,6.0,5.0,
54,4,True,True,,217,212,,2.0,9.0
122,4,True,True,,217,209,,3.0,8.0
109,4,True,False,,,194,,,1.0
35,4,True,False,,,197,,,3.0
41,4,True,False,,,200,,,5.0
