Race_ID,Condition,TT1,TT2,TT3,TT4,TT5,TT6,TT7,TT8,TT9,T1_250,T2_250,T3_250,T4_250,T5_250,T6_250,T7_250,T8_250,T9_250,T1_500,T2_500,T3_500,T4_500,T5_500,T6_500,T7_500,T8_500,T9_500,T1_750,T2_750,T3_750,T4_750,T5_750,T6_750,T7_750,T8_750,T9_750
0,0,205,207,208,213,223,225,240,-1,-1,49,50,51,65,70,72,74,-1,-1,98,102,89,101,106,109,112,-1,-1,154,159,151,155,165,175,168,-1,-1
1,1,207,213,214,215,222,230,235,244,-1,50,51,51,52,52,53,54,55,-1,102.0,,101.0,104.0,106.0,111.0,110.0,113.0,-1.0,155,154,153,159,162,172,169,178,-1
2,0,204,205,207,207,209,214,224,-1,-1,47,48,49,50,50,51,57,-1,-1,96,104,96,101,99,100,102,-1,-1,151,164,151,156,153,155,156,-1,-1
3,0,203,205,205,210,211,211,-1,-1,-1,48,49,51,51,52,53,-1,-1,-1,,100.0,101.0,102.0,99.0,103.0,-1.0,-1.0,-1.0,153,154,155,157,154,158,-1,-1,-1
4,0,205,206,207,208,208,224,228,233,259,50,50,51,52,52,53,54,54,55,93,103,102,102,104,106,109,114,112,152,156,155,153,155,164,163,189,171
5,-1,199,200,201,203,204,207,207,208,210,46,48,49,50,51,52,53,54,56,96,99,98,100,102,103,104,105,101,148,150,151,149,154,156,157,158,152
6,-1,190,191,192,193,193,193,194,199,-1,45.0,46.0,47.0,48.0,49.0,50.0,51.0,,-1.0,88,97,93,104,104,96,98,94,-1,141,142,143,152,153,144,152,145,-1
19,0,209,209,218,218,219,220,226,227,250,49,50,50,51,51,52,52,54,55,102,103,106,107,109,106,106,119,108,158,157,165,163,164,170,164,188,165
20,1,218,220,220,220,221,222,223,228,247,48,49,51,51,52,53,53,54,57,104,108,106,108,111,109,110,109,120,162,167,165,166,169,167,167,166,186
21,1,213,217,218,221,222,222,241,260,-1,49,50,50,51,52,52,54,58,-1,104,105,107,109,109,109,114,123,-1,159,162,166,168,165,167,179,194,-1
22,1,216,216,217,217,218,222,223,224,239,49,50,50,51,51,52,53,53,55,105,107,107,105,108,109,109,109,114,162,164,165,162,168,166,164,167,179
23,1,215,217,217,219,219,221,221,222,229,50,51,52,53,53,53,54,54,55,106,108,108,109,109,108,110,111,113,161,163,164,166,166,165,168,167,170
24,0,206,209,209,211,212,213,213,213,216,49,49,49,49,50,50,50,51,52,102,103,104,104,102,104,105,106,107,157,158,162,161,155,159,163,161,163
