Race_ID,Team_ID,Country,Lane,Final Rank,split time 1,split time 2,split time 3,Total Time
0,104,RUS,5.0,1.0,51,89,151,205
0,86,SRB,9.0,2.0,49,98,154,207
0,1,CZE,7.0,3.0,65,101,155,208
0,97,GBR,8.0,4.0,50,102,159,213
0,87,KGZ,2.0,6.0,70,106,165,223
0,123,CHN,6.0,7.0,74,112,168,225
0,66,HKG,3.0,8.0,72,109,175,240
1,29,CZE,7.0,1.0,51,,154,207
1,8,NZL,4.0,2.0,50,102,155,213
1,80,RUS,5.0,3.0,51,101,153,214
1,13,GBR,8.0,4.0,52,104,159,215
1,11,KGZ,2.0,5.0,52,106,162,222
1,72,CHN,6.0,6.0,54,110,169,230
1,114,HKG,3.0,7.0,53,111,172,235
1,52,SRB,9.0,8.0,55,113,178,244
2,118,CAN,1.0,1.0,49,96,151,204
2,95,GER,4.0,2.0,47,96,151,205
2,32,KAZ,7.0,3.0,50,101,156,207
2,85,LTU,6.0,4.0,51,100,155,207
2,124,BLR,2.0,5.0,57,102,156,209
2,99,NOR,5.0,6.0,50,99,153,214
2,21,ITA,3.0,7.0,48,104,164,224
3,19,FRA,5.0,1.0,48,,153,203
3,25,CAN,1.0,2.0,49,100,154,205
3,10,DEN,7.0,3.0,52,99,154,205
3,71,BLR,2.0,4.0,51,101,155,210
3,17,BEL,3.0,5.0,51,102,157,211
3,47,FIN,6.0,6.0,53,103,158,211
4,95,GER,6.0,1.0,50,93,152,205
4,104,RUS,5.0,2.0,52,102,153,206
4,124,BLR,2.0,3.0,50,103,156,207
4,10,DEN,3.0,4.0,51,102,155,208
4,8,NZL,4.0,5.0,52,104,155,208
4,38,NZL,8.0,6.0,54,109,163,224
4,71,BLR,7.0,7.0,53,106,164,228
4,72,CHN,1.0,8.0,55,112,171,233
4,21,ITA,9.0,9.0,54,114,189,259
5,19,FRA,4.0,1.0,46,96,148,199
5,10,DEN,5.0,2.0,50,100,149,200
5,25,CAN,3.0,3.0,48,99,150,201
5,8,NZL,7.0,4.0,56,101,152,203
5,17,BEL,8.0,5.0,49,98,151,204
5,47,FIN,1.0,6.0,51,102,154,207
5,32,KAZ,6.0,7.0,54,105,158,207
5,13,GBR,9.0,8.0,52,103,156,208
5,38,NZL,2.0,9.0,53,104,157,210
6,95,GER,5.0,1.0,45,88,141,190
6,86,SRB,2.0,2.0,46,97,142,191
6,80,RUS,6.0,3.0,50,96,144,192
6,124,BLR,8.0,4.0,48,104,152,193
6,85,LTU,7.0,5.0,47,93,143,193
6,1,CZE,4.0,6.0,,94,145,193
6,29,CZE,1.0,7.0,51,98,152,194
6,118,CAN,9.0,9.0,49,104,153,199
19,33,HUN,7.0,1.0,49,102,158,209
19,49,CZE,9.0,2.0,50,103,157,209
19,30,ARG,4.0,3.0,51,107,163,218
19,50,SWE,2.0,4.0,52,106,170,218
19,37,POR,3.0,5.0,50,106,165,219
19,68,DEN,6.0,6.0,55,108,165,220
19,47,FIN,8.0,7.0,52,106,164,226
19,11,KGZ,1.0,8.0,51,109,164,227
19,72,CHN,5.0,9.0,54,119,188,250
20,89,POR,4.0,1.0,48,104,162,218
20,97,GBR,1.0,2.0,51,106,165,220
20,86,SRB,8.0,3.0,51,108,166,220
20,70,BLR,5.0,4.0,49,108,167,220
20,16,HUN,2.0,5.0,53,109,167,221
20,99,NOR,6.0,6.0,53,110,167,222
20,18,POL,3.0,7.0,54,109,166,223
20,77,MEX,7.0,8.0,52,111,169,228
20,123,CHN,9.0,9.0,57,120,186,247
21,80,RUS,1.0,1.0,49,104,159,213
21,109,POL,5.0,2.0,50,105,162,217
21,125,BLR,2.0,3.0,52,109,165,218
21,128,CUB,7.0,4.0,50,107,166,221
21,122,AUT,6.0,5.0,51,109,168,222
