Team_ID,Country,Person 1,Person 2
104,RUS,SPESIVTSEV Maxim,CHERVOV Nikolay
86,SRB,PAJIC Dejan,STANOJEVIC Dusko
1,CZE,ADAM Jakub,ODVÁRKO Michael
97,GBR,RUTHERFORD Edward,DANIELS Andrew
87,KGZ,PAROL Aleksandr,DOROFEEV Igor
123,CHN,XUE Yuan,ZHAO Yuefeng
66,HKG,KWOK Ka Wai,NG Ka Chun
29,CZE,DAVÍDEK Pavel,KU_ERA Patrik
8,NZL,BATS Jasper,FITZGERALD Darryl
80,RUS,MEDVEDEV Ilya,RYAKHOV Anton
13,GBR,BOWLEY Mathew,TERRY Dean
11,KGZ,BONDAR Maksim,ALGIN Ilia
72,CHN,LI Kai,LIU Lifan
114,HKG,TSOI Yik San,NG Ka Nam
52,SRB,HOLPERT Ervin,TERZIC Dejan
118,CAN,VAN KOEVERDEN ADAM,REARDON BRADY
95,GER,RENDSCHMIDT Max,GROSS Marcus
32,KAZ,DERGUNOV ALEXEY,ALEXEYEV YEVGENIY
85,LTU,NEKRIOSIUS Ricardas,OLIJNIK Andrej
124,BLR,ZHYHADLA Dzianis,BIALKO Vitaliy
99,NOR,SALBU Daniel,SOLHAUG Jo Sondre
21,ITA,CECCHINI Riccardo,CHIERINI Edoardo
19,FRA,BURGER GUILLAUME,URBAN QUENTIN
25,CAN,CLARKE ROB,JESSOP ANDREW
10,DEN,BOE Niels,AXELSEN William
71,BLR,LIAPIOSHKA Aliksandr,LITVINCHUK Artur
17,BEL,BROEKX Toon,BROEKX Piet
47,FIN,HAKALA Jeremy,NYKÄNEN Miika
38,NZL,FITZGERALD Jarrod,QUICKENDEN Zac
33,HUN,Dombi Rudolf,Kökény Roland
49,CZE,Havel Daniel,_t_rba Jan
30,ARG,De Gesus Juan Pablo,Carreras Gonzalo
50,SWE,Hemselius Daniel,Barsk Johannes
37,POR,Fernandes David,Ribeiro João
68,DEN,Larsen Martin,Axelsen William
47,FIN,Hakala Jeremy,Nykänen Miika
11,KGZ,Bondar Maksim,Algin Ilia
72,CHN,Li Kai,Liu Lifan
89,POR,Pimenta Fernando,Silva Emanuel
97,GBR,Rutherford Edward,Daniels Andrew
86,SRB,Pajic Dejan,Stanojevic Dusko
70,BLR,Liapioshka Aliaksandr,Bialko Vitaliy
16,HUN,Bozsik Gábor,Császár Gergely
99,NOR,Salbu Daniel,Solhaug Jo Sondre
18,POL,Brzezinski Martin,Warszawski Oskar
77,MEX,Lopez Quintero Javier,Medinilla Agustín
123,CHN,Xue Yuan,Zhao Yuefeng
80,RUS,Medvedev Ilya,Ryakhov Anton
109,POL,Szandrach Pawel,Kujawski Mariusz
125,BLR,Zhyhadla Dzianis,Litvinchuk Artur
128,CUB,Zulueta Arencibia Maikel,Riveaux Reiner Torres
122,AUT,Wecht Alexander,Trummer Erwin
29,CZE,Davídek Pavel,Ku_era Patrik
87,KGZ,Parol Aleksandr,Dorofeev Igor
40,HKG,Fung Wai Him,Ng Ka Chun
97,GRB,Rutherford Edward,Daniels Andrew
81,BLR,"MIADZVEDZEU, Pavel","YURENIA, Aleh"
119,SVK,"VLCEK, Erik","TARR, Juraj"
109,POL,"SZANDRACH, Pawel","KUJAWSKI, Mariusz"
63,UKR,"KOPYSTYNSKYI, Roman","BASHTOVYY, Serhiy"
129,CZE,"_PICAR, Jakub","_LOUF, Radek"
103,NOR,"SOLHAUG, Jo Sondre","SALBU, Daniel"
47,FIN,"HAKALA, Jeremy","NYKÄNEN, Miika"
24,KOR,"CHO, Jeonghyun","LEE, Jonghyun"
102,POR,"SILVA, Emanuel","RIBEIRO, João"
106,AUS,"STEWART, Murray","CLEAR, Jacob"
26,ESP,"COSGAYA NORIEGA, Diego","PEREZ RIAL, Carlos"
86,SRB,"PAJIC, Dejan","STANOJEVIC, Dusko"
90,ROU,"PORCARASU, Iustin","COSTEA, Daniel"
127,CUB,"ZULUETA ARENCIBIA, Maikel","GARCIA RODRIGUEZ, Jorge A"
51,SWE,"HEMSELIUS, Daniel","NATHELL, Martin"
