Date;Place;Time;Category;Sex;Country;Lane;Person 1;Person 2;split time 1;split time 2;split time 3;Total Time;Final Rank;Air Temp;Wind Speed;Wind Direction;Competiton Type;Competition Round;distance;boattype;athletes
17.05.2013;RACICE;10:58:00;SEN;M;RUS;5;SPESIVTSEV Maxim;CHERVOV Nikolay;51.150;1:28.780;2:30.910;3:24.941;1;18;;E;WORLDCUP;HEAT;1000M;K2;SPESIVTSEV Maxim+CHERVOV Nikolay
17.05.2013;RACICE;10:58:00;SEN;M;SRB;9;PAJIC Dejan;STANOJEVIC Dusko;48.740;1:38.430;2:33.820;3:27.421;2;18;;E;WORLDCUP;HEAT;1000M;K2;PAJIC Dejan+STANOJEVIC Dusko
17.05.2013;RACICE;10:58:00;SEN;M;CZE;7;ADAM Jakub;ODVÁRKO Michael;1:05.060;1:41.390;2:35.350;3:28.151;3;18;;E;WORLDCUP;HEAT;1000M;K2;ADAM Jakub+ODVÁRKO Michael
17.05.2013;RACICE;10:58:00;SEN;M;GBR;8;RUTHERFORD Edward;DANIELS Andrew;50.070;1:41.930;2:38.700;3:32.741;4;18;;E;WORLDCUP;HEAT;1000M;K2;RUTHERFORD Edward+DANIELS Andrew
17.05.2013;RACICE;10:58:00;SEN;M;NZL;4;FITZGERALD Jarrod;QUICKENDEN Zac;;1:43.980;2:41.190;3:38.491;5;18;;E;WORLDCUP;HEAT;1000M;K2;FITZGERALD Jarrod+QUICKENDEN Zac
17.05.2013;RACICE;10:58:00;SEN;M;KGZ;2;PAROL Aleksandr;DOROFEEV Igor;1:10.140;1:45.980;2:45.080;3:43.011;6;18;;E;WORLDCUP;HEAT;1000M;K2;PAROL Aleksandr+DOROFEEV Igor
17.05.2013;RACICE;10:58:00;SEN;M;CHN;6;XUE Yuan;ZHAO Yuefeng;1:14.200;1:52.000;2:47.770;3:45.461;7;18;;E;WORLDCUP;HEAT;1000M;K2;XUE Yuan+ZHAO Yuefeng
17.05.2013;RACICE;10:58:00;SEN;M;HKG;3;KWOK Ka Wai;NG Ka Chun;1:12.100;1:48.650;2:55.240;3:59.871;8;18;;E;WORLDCUP;HEAT;1000M;K2;KWOK Ka Wai+NG Ka Chun
17.05.2013;RACICE;11:05:00;SEN;M;CZE;7;DAVÍDEK Pavel;KU_ERA Patrik;51.110;1:39.820 ;2:33.830;3:26.541;1;18;;E;WORLDCUP;HEAT;1000M;K2;DAVÍDEK Pavel+KU_ERA Patrik
17.05.2013;RACICE;11:05:00;SEN;M;NZL;4;BATS Jasper;FITZGERALD Darryl;49.890;1:41.540;2:34.650;3:32.961;2;18;;E;WORLDCUP;HEAT;1000M;K2;BATS Jasper+FITZGERALD Darryl
