Date;Place;Time;Category;Sex;Country;Lane;Person 1;Person 2;split time 1;split time 2;split time 3;Total Time;Final Rank;Air Temp;Wind Speed;Wind Direction;Competiton Type;Competition Round
31.05.2013;Poznan;10:22;SEN;M;POL;3;SZANDRACH PAWEŁ;KUJAWSKI MARIUSZ;00:52.82;1:48:27;2:45:10;3:41.970;1;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:22;SEN;M;BEL;5;CAUWENBERGH OLIVIER;PANNECOUCKE LAURENS;00:52.51;0,075717593;2:47:45;3:43.442;2;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:22;SEN;M;GER;7;HARBRECHT GORDAN;FROESE TORBEN;00:51.95;1:47:39;2:45:50;3:45.930;3;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:22;SEN;M;FRA;6;BURGER GUILLAUME;URBAN QUENTIN;00:52.26;1:50:01;0,11806713;3:49.890;4;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:22;SEN;M;ARG;4;DE GESUS JUAN PABLO;CARRERAS GONZALO;;1:51:57;2:49:25;3:51.210;5;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:22;SEN;M;CAN;8;CLARKE ROB;JESSOP ANDREW;00:53.54;1:49:05;0,117696759;3:51.930;6;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:22;SEN;M;SWE;2;HEMSELIUS DANIEL;BARSK JOHANNES;00:53.86;1:51:26;2:52:32;3:52.666;7;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:22;SEN;M;KAZ;1;SULTANBEKOV DAVLET;BEREZINTSEV YURIY;00:54.26;1:54:56;2:55:10;3:53.110;8;15;1 m/s;W;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
31.05.2013;Poznan;10:29;SEN;M;CAN;4;VAN KOEVERDEN ADAM;REARDON BRADY;00:52.30 ;1:46:56;0,114108796;3:38.629;1;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:29;SEN;M;EST;2;ALUPERE KAAREL;TOOTSI TARMO;00:51.36;1:46:08;2:43:07;3:39.045;2;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:29;SEN;M;GER;1;KUX FABIAN;SCHMUDE DAVID;00:50.75;0,073796296;2:42:59;3:39.261;3;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:29;SEN;M;KAZ;3;DERGUNOV ALEXEY;ALEXEYEV YEVGENIY;00:51.04;0,077291667;2:47:10;3:43.853;4;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:29;SEN;M;AUT;6;WECHT ALEXANDER;TRUMMER ERWIN;00:53.47;1:52:33;0,119189815;3:49.965;5;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:29;SEN;M;NED;7;KALF WALTER;HOOGERS JASPER;00:53.82 ;0,077939815;2:50:14;3:51.061;6;15;1 m/s;W;WORLD CUP;HEAT
31.05.2013;Poznan;10:29;SEN;M;POL;5;STABNO BARTOSZ;WARSZAWSKI OSKAR;00:54.19;1:52:06;2:50:54;3:51.753;7;15;1 m/s;W;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
31.05.2013;Poznan;14:58;SEN;M;SWE;8;HEMSELIUS DANIEL;BARSK JOHANNES;00:49.38;1:42:46;2:35:44;3:29.856;1;19;2 m/s;NE;WORLD CUP;SEMIFINAL
31.05.2013;Poznan;14:58;SEN;M;FRA;5;BURGER GUILLAUME;URBAN QUENTIN;;0,070902778;2:36:59;3:30.536;2;19;2 m/s;NE;WORLD CUP;SEMIFINAL
31.05.2013;Poznan;14:58;SEN;M;ARG;6;DE GESUS JUAN PABLO;CARRERAS GONZALO;00:49.94;1:42:14;0,108553241;3:30.868;3;19;2 m/s;NE;WORLD CUP;SEMIFINAL
31.05.2013;Poznan;14:58;SEN;M;CAN;2;CLARKE ROB;JESSOP ANDREW;00:50.61;0,071886574;2:37:58;3:33.608;4;19;2 m/s;NE;WORLD CUP;SEMIFINAL
31.05.2013;Poznan;14:58;SEN;M;NED;7;KALF WALTER;HOOGERS JASPER;00:49.65;1:44:14;2:38:59;3:33.752;5;19;2 m/s;NE;WORLD CUP;SEMIFINAL
31.05.2013;Poznan;14:58;SEN;M;POL;1;STABNO BARTOSZ;WARSZAWSKI OSKAR;00:51.09;0,073125;0,110034722;3:34.756;6;19;2 m/s;NE;WORLD CUP;SEMIFINAL
31.05.2013;Poznan;14:58;SEN;M;KAZ;4;DERGUNOV ALEXEY;ALEXEYEV YEVGENIY;00:48.26;1:45:41;0,111921296;3:34.812;7;19;2 m/s;NE;WORLD CUP;SEMIFINAL
31.05.2013;Poznan;14:58;SEN;M;AUT;3;WECHT ALEXANDER;TRUMMER ERWIN;00:50.26;1:47:05;0,112696759;3:36.760;8;19;2 m/s;NE;WORLD CUP;SEMIFINAL
